,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
779,Meritas Crystal Resort,Lonavala,7.1,Good,,"5 nights, 2 adults, 2 children","₹32,170","3,860"
780,Rhythm Lonavala - An All Suite Resort,Lonavala,8.1,Very good,,"5 nights, 2 adults, 2 children","₹56,156","10,108"
781,ll EMPYREAN STAYS ll 2BHK ENFIELD VILLA ll AC ll PVT POOL ll,Lonavala,3.5,Review score,,"5 nights, 2 adults, 2 children","₹18,225","2,187"
782,Elephant House Luxury Villa,Lonavala,,,,"5 nights, 2 adults, 2 children","₹80,000","14,400"
783,Twilight Stays ll 9PM Villa 3BHK ll Snooker Table ll Swimming Pool ll AC ll BBQ,Lonavala,8.2,Very good,,"5 nights, 2 adults, 2 children","₹22,950","2,754"
784,Cosy Homestay by StayVista - A Tranquil Retreat on Cloud 9,Lonavala,7.4,Good,,"5 nights, 2 adults, 2 children","₹71,263","15,327"
785,Twilight Stays ll 2PM VILLA ll Swimming Pool ll 2BHK ll AC ll BBQ,Lonavala,7.0,Good,,"5 nights, 2 adults, 2 children","₹20,400","2,448"
786,"Kumar Resort By Turtle, Lonavala",Lonavala,6.4,Review score,,"5 nights, 2 adults, 2 children","₹31,200","3,744"
787,ll EMPYREAN STAY ll AIRAWAT VILLA ll 2BHK ll AC ll PRIVATE POOL ll WIFI ll,Lonavala,6.2,Review score,,"5 nights, 2 adults, 2 children","₹22,500","5,200"
788,ll LITTLE HOUSE ll,Lonavala,8.5,Very good,,"5 nights, 2 adults, 2 children","₹9,295","1,115"
789,Mount View Villa - The Dream Stays ll Pvt Pool ll Garden ll 3Ac rooms,Lonavala,9.8,Exceptional,,"5 nights, 2 adults, 2 children","₹27,000","20,240"
790,"Treebo Five Elements, Lonavala",Lonavala,7.1,Good,,"5 nights, 2 adults, 2 children","₹30,400","3,648"
791,Hillside Resort Lonavala - Pawna - Mountain View,Lonavala,7.8,Good,,"5 nights, 2 adults, 2 children","₹54,625","9,833"
792,Meritas Adore Resort,Lonavala,8.0,Very good,2×Deluxe Room2 large double bedsFree cancellation,"5 nights, 2 adults, 2 children","₹50,341","6,041"
793,StayMist - Casa Atlas Villa,Lonavala,9.7,Exceptional,,"5 nights, 2 adults, 2 children","₹25,515","3,062"
794,EMPYREAN STAY ll 2BHK ll ENFIELD VILLA ll AC ll POOL ll BBQ ll,Lonavala,6.0,,,"5 nights, 2 adults, 2 children","₹18,000","2,160"
795,EMPYREAN STAY II 4BHK II CHARLIE VILLA II AC II BIG POOL Il,Lonavala,7.2,Good,,"5 nights, 2 adults, 2 children","₹20,831","2,500"
796,EKOSTAY- Deltin Villa,"Khandala, Lonavala",6.6,Review score,,"5 nights, 2 adults, 2 children","₹41,184","7,413"
797,ll EMPYREAN STAY ll LEONCINO VILLA ll LARGEST POOL ll AC II OPEN SPACE II MOUNT VIEW II,Lonavala,4.5,Review score,,"5 nights, 2 adults, 2 children","₹30,000","6,100"
798,EMPYREAN STAY ll 2BHK ll MAZZELO VILLA LONAVALA ll NON ACII POOL,Lonavala,6.4,Review score,,"5 nights, 2 adults, 2 children","₹14,024","1,683"
799,Mizzle Exotica Lonavala,Lonavala,8.1,Very good,,"5 nights, 2 adults, 2 children","₹26,190","3,143"
800,EKOSTAY- Deltin Villa,"Khandala, Lonavala",6.6,Review score,,"5 nights, 10 adults","₹41,184","7,413"
801,Ekostay Gold - Cosy Cove Villa,Lonavala,6.8,Review score,,"5 nights, 10 adults","₹67,392","12,131"
802,ll EMPYREAN STAY ll LEONCINO VILLA ll LARGEST POOL ll AC II OPEN SPACE II MOUNT VIEW II,Lonavala,4.5,Review score,,"5 nights, 10 adults","₹37,500","7,000"
803,Treasure Island Resorts Lonavala,Lonavala,7.5,Good,5×Deluxe Room5 double bedsFree cancellation,"5 nights, 10 adults","₹125,000","15,000"
804,EMPYREAN STAY II MIRAGE VILLA II AC II 4BHK II LARGEST POOL IN LONAVALA lI,Lonavala,4.8,Review score,,"5 nights, 10 adults","₹39,996","9,699"
805,EMPYREAN STAY ll 3BHK ll JAGUAR VILLA ll AC ll PVT POOL ll LUXURY,Lonavala,1.0,,,"5 nights, 10 adults","₹22,500","2,700"
806,EMPYREAN STAY II 4BHK II CHARLIE VILLA II AC II BIG POOL Il,Lonavala,7.2,Good,,"5 nights, 10 adults","₹20,831","2,500"
807,EKOSTAY- GOLD - Titanium Villa,Lonavala,7.9,Good,,"5 nights, 10 adults","₹66,924","12,046"
808,Twilight Stays ll 9PM Villa 3BHK ll Snooker Table ll Swimming Pool ll AC ll BBQ,Lonavala,8.2,Very good,,"5 nights, 10 adults","₹41,310","7,436"
809,Casa Vayu 3 BHK - EKOSTAY,Lonavala,7.4,Good,,"5 nights, 10 adults","₹53,352","9,603"
810,Lifeline Villas - Peak View Villa Lonavala With Huge Pool And Lawn Area,Lonavala,7.4,Good,,"5 nights, 10 adults","₹59,936","9,889"
811,Villa Mehta 7,Lonavala,,,,"5 nights, 10 adults","₹49,500","8,910"
812,Premium 4BHK Villa,Lonavala,,,,"5 nights, 10 adults","₹32,000","3,840"
813,ll EMPYREAN STAYS ll 2BHK ENFIELD VILLA ll AC ll PVT POOL ll,Lonavala,3.5,Review score,,"5 nights, 10 adults","₹18,225","2,187"
814,Elephant House Luxury Villa,Lonavala,,,"1×VillaEntire villa•2 bedrooms•1 living room•4 bathrooms•1 kitchen•250m²8 beds (3 singles, 1 double, 3 sofa beds, 1 large double)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹155,000","27,900"
815,EKOSTAY - Eternal Wave,Lonavala,,Exceptional,,"5 nights, 10 adults","₹64,800","11,664"
816,ll EMPYREAN STAY ll AIRAWAT VILLA ll 2BHK ll AC ll PRIVATE POOL ll WIFI ll,Lonavala,6.2,Review score,,"5 nights, 10 adults","₹31,875","6,325"
817,RK Villa,Lonavala,6.5,Review score,,"5 nights, 10 adults","₹33,000","3,960"
818,EKOSTAY - Hill View Villa,Lonavala,,Exceptional,,"5 nights, 10 adults","₹41,184","7,413"
819,EMPYREAN STAY II 6BHK BIG DADDY VILLA ll AC II PVT POOL II TERRACE VIEW II LUX,Lonavala,,Exceptional,,"5 nights, 10 adults","₹45,000","10,600"
820,ll EMPYREAN STAY ll MYSTICAL STONE ll 4BHK ll AC ll PVT POOL ll,Lonavala,,Exceptional,,"5 nights, 10 adults","₹49,500","11,410"
821,StayMist - Casa Atlas Villa,Lonavala,9.7,Exceptional,,"5 nights, 10 adults","₹41,715","7,509"
822,EKOSTAY - Water Lagoon Villa,Lonavala,6.9,Review score,,"5 nights, 10 adults","₹53,352","9,603"
823,Orchid villa,Lonavala,6.1,Review score,,"5 nights, 10 adults","₹24,000","2,880"
824,Mount Retreat,Lonavala,,Exceptional,,"5 nights, 10 adults","₹33,720","5,046"
825,Mount View Villa - The Dream Stays ll Pvt Pool ll Garden ll 3Ac rooms,Lonavala,9.8,Exceptional,,"5 nights, 8 adults, 2 children","₹35,000","21,200"
826,EKOSTAY- Deltin Villa,"Khandala, Lonavala",6.6,Review score,,"5 nights, 8 adults, 2 children","₹41,184","7,413"
827,EKOSTAY - Water Lagoon Villa,Lonavala,6.9,Review score,,"5 nights, 8 adults, 2 children","₹53,352","9,603"
828,StayMist - Casa Atlas Villa,Lonavala,9.7,Exceptional,,"5 nights, 8 adults, 2 children","₹33,615","4,034"
829,Ekostay Gold - Cosy Cove Villa,Lonavala,6.8,Review score,,"5 nights, 8 adults, 2 children","₹67,392","12,131"
830,ll EMPYREAN STAY ll LEONCINO VILLA ll LARGEST POOL ll AC II OPEN SPACE II MOUNT VIEW II,Lonavala,4.5,Review score,,"5 nights, 8 adults, 2 children","₹32,250","6,370"
831,EMPYREAN STAY II MIRAGE VILLA II AC II 4BHK II LARGEST POOL IN LONAVALA lI,Lonavala,4.8,Review score,,"5 nights, 8 adults, 2 children","₹39,996","9,699"
832,Silver Oaks Villa,Lonavala,9.3,Superb,,"5 nights, 8 adults, 2 children","₹83,640","15,055"
833,EKO STAY- Villa BLANCO,Lonavala,5.9,Review score,,"5 nights, 8 adults, 2 children","₹48,645","8,756"
834,EKOSTAY - Tropicana Villa,Lonavala,7.8,Good,,"5 nights, 8 adults, 2 children","₹53,352","9,603"
835,EMPYREAN STAY ll 2BHK ll ENFIELD VILLA ll AC ll POOL ll BBQ ll,Lonavala,6.0,,,"5 nights, 8 adults, 2 children","₹27,750","3,330"
836,EMPYREAN STAY II 4BHK II CHARLIE VILLA II AC II BIG POOL Il,Lonavala,7.2,Good,,"5 nights, 8 adults, 2 children","₹20,831","2,500"
837,Nature View Villa - The Dream Stays ll Infinity Big Pool,"Khandala, Lonavala",9.3,Superb,,"5 nights, 8 adults, 2 children","₹33,000","20,460"
838,EMPYREAN STAY ll 3BHK ll JAGUAR VILLA ll AC ll PVT POOL ll LUXURY,Lonavala,1.0,,,"5 nights, 8 adults, 2 children","₹22,500","2,700"
839,Twilight Stays ll 2PM VILLA ll Swimming Pool ll 2BHK ll AC ll BBQ,Lonavala,7.0,Good,,"5 nights, 8 adults, 2 children","₹36,720","4,406"
840,Ignite Villa By Tropicana Stays,Lonavala,6.3,Review score,,"5 nights, 8 adults, 2 children","₹75,995","16,179"
841,EMPYREAN STAY ll 2BHK ll MAZZELO VILLA LONAVALA ll NON ACII POOL,Lonavala,6.4,Review score,,"5 nights, 8 adults, 2 children","₹14,024","1,683"
842,ll EMPYREAN STAYS ll 2BHK ENFIELD VILLA ll AC ll PVT POOL ll,Lonavala,3.5,Review score,,"5 nights, 8 adults, 2 children","₹18,225","2,187"
843,Orchid villa,Lonavala,6.1,Review score,,"5 nights, 8 adults, 2 children","₹24,000","2,880"
844,RK Villa,Lonavala,6.5,Review score,,"5 nights, 8 adults, 2 children","₹33,000","3,960"
845,ll EMPYREAN STAY ll AIRAWAT VILLA ll 2BHK ll AC ll PRIVATE POOL ll WIFI ll,Lonavala,6.2,Review score,,"5 nights, 8 adults, 2 children","₹30,375","6,145"
846,EMPYREAN STAY ll 2BHK II LUCIFER VILLA ll PRIVATE POOL II,Lonavala,4.5,Review score,,"5 nights, 8 adults, 2 children","₹29,250","6,010"
847,EKOSTAY - Eternal Wave,Lonavala,,Exceptional,,"5 nights, 8 adults, 2 children","₹64,800","11,664"
848,EKOSTAY - Hill View Villa,Lonavala,,Exceptional,,"5 nights, 8 adults, 2 children","₹41,184","7,413"
849,Premium 4BHK Villa,Lonavala,,,,"5 nights, 8 adults, 2 children","₹32,000","3,840"
850,Mount View Villa - The Dream Stays ll Pvt Pool ll Garden ll 3Ac rooms,Lonavala,9.8,Exceptional,,"5 nights, 6 adults, 4 children","₹29,700","20,564"
851,EKOSTAY- Deltin Villa,"Khandala, Lonavala",6.6,Review score,,"5 nights, 6 adults, 4 children","₹41,184","7,413"
852,StayMist - Casa Atlas Villa,Lonavala,9.7,Exceptional,,"5 nights, 6 adults, 4 children","₹31,995","3,839"
853,EKOSTAY - Water Lagoon Villa,Lonavala,6.9,Review score,,"5 nights, 6 adults, 4 children","₹53,352","9,603"
854,Ekostay Gold - Cosy Cove Villa,Lonavala,6.8,Review score,,"5 nights, 6 adults, 4 children","₹67,392","12,131"
855,"SaffronStays Aster, plunge pool villa with garden, Lonavala",Lonavala,8.8,Fabulous,,"5 nights, 6 adults, 4 children","₹95,968","17,274"
856,ll EMPYREAN STAY ll LEONCINO VILLA ll LARGEST POOL ll AC II OPEN SPACE II MOUNT VIEW II,Lonavala,4.5,Review score,,"5 nights, 6 adults, 4 children","₹32,250","6,370"
857,EMPYREAN STAY II MIRAGE VILLA II AC II 4BHK II LARGEST POOL IN LONAVALA lI,Lonavala,4.8,Review score,,"5 nights, 6 adults, 4 children","₹39,996","9,699"
858,EMPYREAN STAY ll 2BHK ll ENFIELD VILLA ll AC ll POOL ll BBQ ll,Lonavala,6.0,,,"5 nights, 6 adults, 4 children","₹27,750","3,330"
859,Nature View Villa - The Dream Stays ll Infinity Big Pool,"Khandala, Lonavala",9.3,Superb,,"5 nights, 6 adults, 4 children","₹29,500","20,040"
860,EMPYREAN STAY II 4BHK II CHARLIE VILLA II AC II BIG POOL Il,Lonavala,7.2,Good,,"5 nights, 6 adults, 4 children","₹20,831","2,500"
861,EMPYREAN STAY ll 3BHK ll JAGUAR VILLA ll AC ll PVT POOL ll LUXURY,Lonavala,1.0,,,"5 nights, 6 adults, 4 children","₹22,500","2,700"
862,EKO STAY- Villa BLANCO,Lonavala,5.9,Review score,,"5 nights, 6 adults, 4 children","₹48,645","8,756"
863,Iris Villa - The Dream Stays ll 2Ac Rooms ll WiFi ll Pvt Big Pool,"Khandala, Lonavala",,,,"5 nights, 6 adults, 4 children","₹26,500","18,680"
864,EMPYREAN STAY ll 2BHK ll MAZZELO VILLA LONAVALA ll NON ACII POOL,Lonavala,6.4,Review score,,"5 nights, 6 adults, 4 children","₹14,024","1,683"
865,ll EMPYREAN STAYS ll 2BHK ENFIELD VILLA ll AC ll PVT POOL ll,Lonavala,3.5,Review score,,"5 nights, 6 adults, 4 children","₹18,225","2,187"
866,Orchid villa,Lonavala,6.1,Review score,,"5 nights, 6 adults, 4 children","₹24,000","2,880"
867,ll EMPYREAN STAY ll AIRAWAT VILLA ll 2BHK ll AC ll PRIVATE POOL ll WIFI ll,Lonavala,6.2,Review score,,"5 nights, 6 adults, 4 children","₹30,375","6,145"
868,RK Villa,Lonavala,6.5,Review score,,"5 nights, 6 adults, 4 children","₹33,000","3,960"
869,EMPYREAN STAY ll 2BHK II LUCIFER VILLA ll PRIVATE POOL II,Lonavala,4.5,Review score,,"5 nights, 6 adults, 4 children","₹29,250","6,010"
870,Premium 4BHK Villa,Lonavala,,,,"5 nights, 6 adults, 4 children","₹32,000","3,840"
871,EKOSTAY - Hill View Villa,Lonavala,,Exceptional,,"5 nights, 6 adults, 4 children","₹41,184","7,413"
872,EKOSTAY - Eternal Wave,Lonavala,,Exceptional,,"5 nights, 6 adults, 4 children","₹64,800","11,664"
873,Mount Retreat,Lonavala,,Exceptional,,"5 nights, 6 adults, 4 children","₹33,720","5,046"
874,EMPYREAN STAY II 6BHK II SAMRAT VILLA II AC II PVT POOL ll LARGEST POOL ll,Lonavala,,,,"5 nights, 6 adults, 4 children","₹32,400","3,888"
875,Glacier View Guest House,Leh,8.7,Fabulous,5×Superior Double Room10 single bedsFree cancellation,"5 nights, 10 adults","₹31,500","3,780"
876,Rainbow Hostelier,Leh,8.8,Fabulous,2×Bed in 6-Bed Mixed Dormitory Room2 beds in dormitories2 bunk bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹29,565","3,548"
877,Nilza Guest House,Leh,9.2,Superb,1×Double Room with Private Bathroom1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹25,485","3,058"
878,The Morning Sky hotel,Leh,8.8,Fabulous,1×6-Bed Mixed Dormitory RoomShared dormitory room7 bunk bedsFree cancellation,"5 nights, 10 adults","₹50,965","6,116"
879,Raybo Hostel,Leh,9.2,Superb,4×Bed in 6-Bed Mixed Dormitory Room4 beds in dormitories4 bunk bedsFree cancellation,"5 nights, 10 adults","₹32,500","3,900"
880,Pal Hotel,Leh,8.6,Fabulous,1×Deluxe King Room1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹125,353","15,042"
881,Laksdup Guest House,Leh,7.8,Good,2×Deluxe Room2 double bedsFree cancellation,"5 nights, 10 adults","₹45,600","5,472"
882,Apricus hotel,Leh,9.4,Superb,5×Double Room with Mountain View10 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹45,000","5,400"
883,Himalayan Regal House,Deskit,9.2,Superb,1×Deluxe Double Room with Castle View1 extra-large double bedFree cancellation,"5 nights, 10 adults","₹41,225","4,947"
884,LeHostel,Leh,8.3,Very good,10×Bed in 6-Bed Mixed Dormitory Room10 beds in dormitories10 bunk beds,"5 nights, 10 adults","₹15,924","1,911"
885,TSASKAN hotel,Leh,8.3,Very good,5×Deluxe Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹37,500","4,500"
886,The Nature Residency - A Riverside Resort in Leh,Leh,7.1,Good,5×Deluxe Room5 large double bedsFree cancellation,"5 nights, 10 adults","₹115,928","13,911"
887,The Bodhi Tree,Leh,8.8,Fabulous,5×Deluxe Double Room5 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹165,400","19,848"
888,Heschuk Guest House,Leh,9.4,Superb,2×Double Room with Mountain View2 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹44,350","5,322"
889,Yarab Tso,Leh,9.1,Superb,5×Deluxe Double Room5 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹118,750","14,250"
890,Oogpa House - Boutique Homestay,Leh,,Exceptional,4×Superior Double or Twin Room with Mountain View4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹62,273","7,473"
891,cozy villa home stay stongsteth Nubra Near Saichen Glacier,Kimi,,,3×Double Room12 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹23,000","2,760"
892,The Gawaling ladakh,Leh,7.8,Good,2×Deluxe Double Room2 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹151,200","23,058"
893,gultuk homestay,Leh,,,,"5 nights, 10 adults","₹7,500",900
894,Hotel El Castello,Leh,8.5,Very good,5×Deluxe Double Room5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹62,500","7,500"
895,Youthok Guest House,Leh,9.0,Superb,1×Family Room with Bathroom4 single bedsFree cancellation,"5 nights, 10 adults","₹48,000","5,760"
896,Ladakh Himalayan Retreat,Leh,9.5,Exceptional,2×Deluxe Double or Twin RoomChoice of beds: singles or doubleFree cancellation,"5 nights, 10 adults","₹104,342","12,521"
897,Sangto Green Guest House,Leh,9.1,Superb,4×Double Room with Mountain View4 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹49,680","5,962"
898,The Latsas,Hundar,,,"4×Superior Double Room8 beds (4 doubles, 4 futons)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹50,400","6,048"
899,Dgha-Ldhan Guest House,Leh,9.4,Superb,2×Double Room with Private Bathroom2 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹53,000","6,360"
900,Rainbow Hostelier,Leh,8.8,Fabulous,7×Bed in 8-Bed Mixed Dormitory Room7 beds in dormitories7 bunk bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹22,680","2,722"
901,LeHostel,Leh,8.3,Very good,7×Bed in 6-Bed Mixed Dormitory Room7 beds in dormitories7 bunk beds,"5 nights, 7 adults","₹16,720","2,006"
902,Nilza Guest House,Leh,9.2,Superb,"1×Triple Room with Balcony2 beds (1 single, 1 double)Free cancellationNo prepayment needed– pay at the property","5 nights, 7 adults","₹28,182","3,382"
903,Raybo Hostel,Leh,9.2,Superb,1×Bed in 6-Bed Mixed Dormitory RoomBed in dormitory•14m²1 bunk bedFree cancellation,"5 nights, 7 adults","₹22,750","2,730"
904,Laksdup Guest House,Leh,7.8,Good,4×Deluxe Room4 double bedsFree cancellation,"5 nights, 7 adults","₹34,000","4,080"
905,Apricus hotel,Leh,9.4,Superb,4×Double Room with Mountain View8 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹36,000","4,320"
906,Hotel El Castello,Leh,8.5,Very good,4×Deluxe Double Room4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹50,000","6,000"
907,Oogpa House - Boutique Homestay,Leh,,Exceptional,4×Superior Double or Twin Room with Mountain View4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹52,796","6,336"
908,Heschuk Guest House,Leh,9.4,Superb,1×Double Room with Mountain View1 large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹31,700","3,804"
909,THE WILLOW HOUSE,Leh,9.2,Superb,4×Deluxe Double Room4 large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹52,000","6,240"
910,mandarava homestay,Leh,9.1,Superb,1×Single Room with Private Bathroom1 single bedFree cancellation,"5 nights, 7 adults","₹36,000","4,320"
911,TSASKAN hotel,Leh,8.3,Very good,4×Deluxe Double Room4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹30,000","3,600"
912,Hotel Skittsal Leh,Leh,8.3,Very good,1×Deluxe Double Room1 extra-large double bed,"5 nights, 7 adults","₹22,500","2,700"
913,Karma Lodge Leh,Leh,8.7,Fabulous,1×Deluxe Double Room1 extra-large double bedFree cancellation,"5 nights, 7 adults","₹33,438","3,648"
914,Neryok's Indus view,Chimre,7.8,Good,2×Chalet2 entire chalets•2 bedrooms•2 bathrooms2 double bedsFree cancellation,"5 nights, 7 adults","₹36,366","4,364"
915,Hidden Leaf Homestay,Leh,9.5,Exceptional,1×Family Double Room1 double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹60,325","9,399"
916,Sangto Green Guest House,Leh,9.1,Superb,4×Double Room with Mountain View4 extra-large double bedsFree cancellation,"5 nights, 7 adults","₹42,120","5,054"
917,Nezer Hostel & Roof Top Cafe,Leh,9.5,Exceptional,2×4-Bed Mixed Dormitory Room2 shared dormitory rooms8 bunk bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹14,000","1,680"
918,The Nangsay Hotel,Leh,8.8,Fabulous,4×Deluxe Double Room with Balcony4 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹63,939","7,673"
919,Honey Bee,Leh,9.2,Superb,1×Economy Double Room1 large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹43,050","5,166"
920,"Norbooling HomeStay, Leh Ladakh",Leh,9.2,Superb,3×Double Room with Mountain View3 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 7 adults","₹33,800","4,056"
921,Youthok Guest House,Leh,9.0,Superb,1×Family Room with Bathroom4 single bedsFree cancellation,"5 nights, 7 adults","₹48,000","5,760"
922,The Urban Cottage,Leh,,,,"5 nights, 7 adults","₹27,500","3,300"
923,gultuk homestay,Leh,,,,"5 nights, 7 adults","₹7,500",900
924,The Urban Cottage,Leh,,,,"5 nights, 7 adults","₹37,500","4,500"
925,The Pangong,Leh,8.9,Fabulous,,"5 nights, 2 adults","₹14,800","1,776"
926,Pal Hotel,Leh,8.6,Fabulous,,"5 nights, 2 adults","₹21,396","2,568"
927,The Gawaling ladakh,Leh,7.8,Good,,"5 nights, 2 adults","₹34,650","4,158"
928,Hotel El Castello,Leh,8.5,Very good,,"5 nights, 2 adults","₹12,500","1,500"
929,Yarab Tso,Leh,9.1,Superb,,"5 nights, 2 adults","₹23,750","2,850"
930,The Nature Residency - A Riverside Resort in Leh,Leh,7.1,Good,,"5 nights, 2 adults","₹23,186","2,782"
931,Ladakh Himalayan Retreat,Leh,9.5,Exceptional,,"5 nights, 2 adults","₹22,125","2,655"
932,Glacier View Guest House,Leh,8.7,Fabulous,,"5 nights, 2 adults","₹6,300",756
933,Hotel Ladakh Greens - an Organic Retreat,Leh,9.2,Superb,,"5 nights, 2 adults","₹18,750","2,250"
934,Lha-Zes,Leh,9.5,Exceptional,,"5 nights, 2 adults","₹34,000","4,080"
935,Gomang Boutique Hotel,Leh,9.5,Exceptional,,"5 nights, 2 adults","₹51,300","9,234"
936,The Nangsay Hotel,Leh,8.8,Fabulous,,"5 nights, 2 adults","₹15,985","1,918"
937,The Indus Valley,Leh,8.5,Very good,,"5 nights, 2 adults","₹69,120","12,442"
938,Laksdup Guest House,Leh,7.8,Good,,"5 nights, 2 adults","₹8,500","1,020"
939,Hotel Nalanda Ladakh,Leh,8.5,Very good,,"5 nights, 2 adults","₹24,750","5,445"
940,Hotel Lingzi,Leh,8.5,Very good,,"5 nights, 2 adults","₹13,250","1,590"
941,Stone Hedge Hotel,Nubra,9.8,Exceptional,,"5 nights, 2 adults","₹83,260","14,987"
942,THE WILLOW HOUSE,Leh,9.2,Superb,,"5 nights, 2 adults","₹13,000","1,560"
943,Hidden Leaf Homestay,Leh,9.5,Exceptional,,"5 nights, 2 adults","₹11,543","2,105"
944,Apricus hotel,Leh,9.4,Superb,,"5 nights, 2 adults","₹9,000","1,080"
945,Ladakh Eco Resort,Leh,9.4,Superb,,"5 nights, 2 adults","₹41,500","7,470"
946,essence AT LADAKH,Leh,8.9,Fabulous,,"5 nights, 2 adults","₹34,500","4,140"
947,LeHostel,Leh,8.3,Very good,,"5 nights, 2 adults","₹10,908","1,309"
948,Rock Castle Residency,Leh,9.3,Superb,,"5 nights, 2 adults","₹14,875","1,785"
949,TSASKAN hotel,Leh,8.3,Very good,,"5 nights, 2 adults","₹7,500",900
950,"Treebo Five Elements, Lonavala",Lonavala,7.1,Good,,"5 nights, 2 adults","₹17,400","2,088"
951,Meritas Adore Resort,Lonavala,8.0,Very good,,"5 nights, 2 adults","₹20,420","2,450"
952,Meritas Aura Resort,Lonavala,8.3,Very good,,"5 nights, 2 adults","₹27,000","3,240"
953,Sterling Stolen Heaven Lonavala,Lonavala,7.7,Good,,"5 nights, 2 adults","₹23,360","3,253"
954,Enrise by Sayaji Lonavala,Lonavala,8.3,Very good,,"5 nights, 2 adults","₹33,495","4,019"
955,Glamp Of Dreams,Lonavala,8.0,Very good,,"5 nights, 2 adults","₹21,366","2,564"
956,Meritas Crystal Resort,Lonavala,7.1,Good,,"5 nights, 2 adults","₹22,793","2,735"
957,Fariyas Resort Lonavala,Lonavala,8.5,Very good,,"5 nights, 2 adults","₹51,602","9,288"
958,Mount View Villa - The Dream Stays ll Pvt Pool ll Garden ll 3Ac rooms,Lonavala,9.8,Exceptional,,"5 nights, 2 adults","₹27,000","20,240"
959,Rhythm Lonavala - An All Suite Resort,Lonavala,8.1,Very good,,"5 nights, 2 adults","₹48,956","8,812"
960,Radisson Resort and Spa Lonavala,Lonavala,8.3,,,"5 nights, 2 adults","₹72,000","15,509"
961,"Kumar Resort By Turtle, Lonavala",Lonavala,6.4,Review score,,"5 nights, 2 adults","₹25,500","3,060"
962,Twilight Stays ll 2PM VILLA ll Swimming Pool ll 2BHK ll AC ll BBQ,Lonavala,7.0,Good,,"5 nights, 2 adults","₹20,400","2,448"
963,ll LITTLE HOUSE ll,Lonavala,8.5,Very good,,"5 nights, 2 adults","₹9,295","1,115"
964,Della Resorts,"Khandala, Lonavala",7.2,Good,,"5 nights, 2 adults","₹75,600","13,608"
965,Voyage Zo Lonavala,Lonavala,8.4,Very good,,"5 nights, 2 adults","₹19,800","2,376"
966,EKO STAY - Octagon Farms Villa,Lonavala,7.1,Good,,"5 nights, 2 adults","₹111,780","20,120"
967,Hotel O Mount Inn Resort,Lonavala,,,,"5 nights, 2 adults","₹9,340","1,291"
968,EKOSTAY- Deltin Villa,"Khandala, Lonavala",6.6,Review score,,"5 nights, 2 adults","₹41,184","7,413"
969,StayMist - Casa Atlas Villa,Lonavala,9.7,Exceptional,,"5 nights, 2 adults","₹25,515","3,062"
970,The Orchid Lonavala,Lonavala,7.6,Good,,"5 nights, 2 adults","₹36,495","4,379"
971,Hillside Resort Lonavala - Pawna - Mountain View,Lonavala,7.8,Good,,"5 nights, 2 adults","₹52,250","9,405"
972,Newly Renovated-Farm Villa -6BHK with Pool & Turf,Lonavala,7.0,Good,,"5 nights, 2 adults","₹78,750","14,175"
973,Nostravila,Lonavala,8.4,Very good,,"5 nights, 2 adults","₹52,173","9,391"
974,Hashtag Travellers By Mody Stays,Lonavala,8.0,Very good,,"5 nights, 2 adults","₹19,778","2,373"
