,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
46,Lime Tree Hotel & One Bed Room Serviced Apartment - Noida Sector 50 Metro with Party Venue,Noida,9.2,Superb,"3×One-Bedroom Apartment3 entire apartments•3 bedrooms•3 living rooms•3 bathrooms•3 kitchens6 beds (3 doubles, 3 sofa beds)Free cancellationNo prepayment needed– pay at the property","5 nights, 8 adults, 2 children","₹85,050","10,206"
47,ZEN Studios - DLF CyberCity Gurgaon,"DLF Cyber City, Gurgaon",8.1,Very good,1×Standard StudioEntire studio•1 bathroom•1 kitchen•29m²1 large double bed,"5 nights, 8 adults, 2 children","₹95,130","11,416"
48,StayVista at Cloudberry Estate - Pet Freindly Villa with Private Outdoor Pool & Lawn,Faridabad,7.0,Good,,"5 nights, 8 adults, 2 children","₹165,225","29,741"
49,"Hostie Asita - Studio Apartments with Pvt Kitchenette, Noida",Noida,8.8,Fabulous,1×Studio with BalconyEntire studio•1 bathroom•56m²1 extra-large double bed,"5 nights, 8 adults, 2 children","₹84,000","17,580"
50,Hyatt Delhi Residences,"Aerocity, New Delhi",8.9,Fabulous,1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 kitchen1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹226,750","40,815"
51,Homlee-Excellency Large 4BHK-South Delhi- NFC,"New Friends Colony, New Delhi",8.8,Fabulous,,"5 nights, 6 adults, 4 children","₹63,500","12,630"
52,Homlee-Green Luxury 3BHK-South DEL-NFC-Lift,"New Friends Colony, New Delhi",,Exceptional,,"5 nights, 6 adults, 4 children","₹60,750","11,934"
53,Anara Service Apartments - Greater Kailash Part II,New Delhi,8.3,Very good,1×King StudioEntire studio•1 bathroom•1 kitchen•120m²1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹142,207",
54,Ideal 3bhk apartment!Downtown,New Delhi,,,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•93m²2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹50,000",
55,Homlee-Anupam 3BHK-Lift-Parking-Saket-Max Hospital,"South Delhi, New Delhi",8.9,Fabulous,,"5 nights, 6 adults, 4 children","₹52,000","10,359"
56,Olive Serviced Apartments - Defence Colony,New Delhi,7.5,Good,,"5 nights, 6 adults, 4 children","₹135,465","24,384"
57,"BluO 4BHK Safdarjung Enclave - Balcony, Lift","Safdarjung Enclave, New Delhi",,,,"5 nights, 6 adults, 4 children","₹73,369","13,206"
58,Homlee-Vintage 2BHK-Fort View-Bharat Mandapam-NDLS,"Central Delhi, New Delhi",7.2,Good,2×Two-Bedroom Apartment2 entire apartments•4 bedrooms•4 bathrooms•2 kitchens4 double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹53,740","7,647"
59,Homlee-Pentagon 3 BHK luxurious-Lift-Parking-Saket,"Saket, New Delhi",9.0,Superb,,"5 nights, 6 adults, 4 children","₹97,500","18,749"
60,StayVista at The Cityscape with Lawn & Pool,"Dwarka, New Delhi",9.3,Superb,,"5 nights, 6 adults, 4 children","₹193,275","34,790"
61,StayVista's Anantam - Luxury 4BR villa with Huge Swimming Pool in Delhi,New Delhi,,,,"5 nights, 6 adults, 4 children","₹346,969","62,454"
62,"Fortune Home Service Apartment 3Bhk,J-171 Saket","Saket, New Delhi",,,"1×Three-Bedroom Standard ApartmentEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•350m²3 beds (1 double, 1 extra-large double, 1 large double)Free cancellation","5 nights, 6 adults, 4 children","₹91,195","27,615"
63,Urban Nest -New 3BHK Apartments,"South Delhi, New Delhi",8.0,,1×Three-Bedroom Apartment with BalconyEntire apartment•3 bedrooms•3 bathrooms•1 kitchen•220m²3 double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹149,060","26,831"
64,"Fortune Home Service Apartment 3Bhk,E-28, Saket 2B","Saket, New Delhi",8.0,,1×Three-Bedroom Superior ApartmentEntire apartment•3 bedrooms•1 living room•2 bathrooms•1 kitchen•300m²3 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹81,596","25,596"
65,Safdarjung Enclave,"Safdarjung Enclave, New Delhi",8.5,Very good,"1×Safdarjung Enclave-3BHK apartment with WiFiEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•195m²4 beds (3 doubles, 1 sofa bed)","5 nights, 6 adults, 4 children","₹135,232","24,342"
66,Olive Service Apartments Saket,"Saket, New Delhi",,,,"5 nights, 6 adults, 4 children","₹174,398","31,392"
67,The Grand New Delhi,New Delhi,6.8,Review score,4×Studio Apartment4 extra-large double bedsFree cancellation,"5 nights, 6 adults, 4 children","₹357,300","64,314"
68,Hotel Atlantis Continental,"Paharganj, New Delhi",8.3,Very good,5×Deluxe Studio5 entire studios•5 bathrooms5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹64,984","7,798"
69,"Mehul- A, Luxurious Stay 5 Mint From Railway Station New Delhi","Paharganj, New Delhi",9.7,Exceptional,5×Boutique Room _Non View5 entire studios•5 bathrooms5 extra-large double beds • Free cot always availableFree cancellationNo prepayment needed– pay at the property,"5 nights, 6 adults, 4 children","₹117,475","14,097"
